RXCUI|INGREDIENT|ING_RXCUI
1000000|Hydrochlorothiazide|5487
1000000|Amlodipine|17767
1000000|olmesartan|321064
1000001|Hydrochlorothiazide|5487
1000001|Amlodipine|17767
1000001|olmesartan|321064
1000005|Hydrochlorothiazide|5487
1000005|Amlodipine|17767
1000005|olmesartan|321064
1000009|dimethicone|324072
1000009|Zinc Oxide|11423
1000009|Miconazole|6932
1000015|western wheatgrass pollen extract|852659
1000026|Methenamine|6832
1000028|Methenamine|6832
1000028|sodium phosphate|36709
1000030|Methenamine|6832
1000030|Sodium Phosphate, Monobasic|235496
1000048|Doxepin|3638
1000054|Doxepin|3638
1000058|Doxepin|3638
1000064|Doxepin|3638
1000070|Doxepin|3638
1000076|Doxepin|3638
1000085|alcaftadine|1000082
1000089|alcaftadine|1000082
1000091|Doxepin|3638
1000093|Doxepin|3638
1000095|Doxepin|3638
1000097|Doxepin|3638
1000107|incobotulinumtoxin A|1000104
1000111|incobotulinumtoxin A|1000104
1000114|Medroxyprogesterone|6691
1000124|Medroxyprogesterone|6691
1000126|Medroxyprogesterone|6691
1000128|Medroxyprogesterone|6691
1000131|Medroxyprogesterone|6691
1000133|Medroxyprogesterone|6691
1000135|Medroxyprogesterone|6691
1000139|Medroxyprogesterone|6691
1000141|Medroxyprogesterone|6691
1000145|Medroxyprogesterone|6691
1000153|Medroxyprogesterone|6691
1000154|Medroxyprogesterone|6691
1000156|Medroxyprogesterone|6691
1000158|Medroxyprogesterone|6691
1000351|Estrogens, Conjugated (USP)|4099
1000351|Medroxyprogesterone|6691
1000352|Estrogens, Conjugated (USP)|4099
1000352|Medroxyprogesterone|6691
1000355|Estrogens, Conjugated (USP)|4099
1000355|Medroxyprogesterone|6691
1000356|Estrogens, Conjugated (USP)|4099
1000356|Medroxyprogesterone|6691
1000364|Medroxyprogesterone|6691
1000373|Medroxyprogesterone|6691
1000374|Medroxyprogesterone|6691
1000376|Medroxyprogesterone|6691
1000380|Medroxyprogesterone|6691
